2116,2962
Produktionen 330,1901,176,21
und 521,1902,48,20
Liedervor- 586,1902,134,20
trägen. 179,1938,89,25
<EOS>
Am 210,1969,45,21
13. 273,1969,33,21
<EOS>
März 318,1969,63,21
wurde 397,1969,78,21
von 491,1976,47,14
der 555,1969,39,21
General- 613,1969,106,21
Versammlung 179,2002,173,27
der 377,2003,40,21
Vorstand, 440,2002,126,25
bestehend 591,2002,128,22
aus: 180,2045,51,12
Präsident 243,2036,121,21
Ernst 373,2036,72,21
Huldi, 454,2036,80,25
Vizepräsident 543,2036,177,27
Adolf 179,2070,73,21
Deucher, 266,2070,113,25
Sekretär 399,2070,107,21
Adolf 522,2070,72,21
Künzler, 609,2070,110,26
Aktuar 179,2105,92,20
Albert 287,2104,82,21
Lengweiler, 385,2104,148,27
Kassier 550,2104,94,21
Otto 662,2104,56,21
Zeller, 180,2139,79,24
Beisitzer 281,2138,111,21
Frau 413,2138,62,21
Elsa 496,2138,54,21
Keller 572,2138,78,21
und 671,2138,48,21
Jakob 182,2173,76,22
Sauter, 278,2172,90,24
einstimmig 386,2173,141,26
wieder 543,2172,84,21
bestä- 642,2172,77,21
tigt. 179,2207,52,27
<EOS>
An 247,2206,37,21
Stelle 300,2206,69,21
des 384,2206,38,21
aus 438,2213,40,14
Gesundheitsrück- 495,2206,223,21
sichten 180,2240,89,21
zurücktretenden 288,2239,210,22
Fähnrichs 515,2239,128,22
Paul 661,2239,58,21
Oberhänsli-Scherer 181,2273,244,21
wurde 438,2273,78,21
Max 525,2273,55,21
Huber 590,2273,81,21
ge- 682,2281,36,19
wählt. 180,2307,78,21
<EOS>
Auch 270,2307,67,21
der 347,2307,40,21
Dirigent, 398,2307,113,27
Robert 523,2307,89,21
Epting, 623,2307,95,27
wurde 180,2342,77,20
wieder 268,2341,83,21
bestätigt. 362,2341,121,27
<EOS>
Im 495,2341,37,21
üblichen 541,2341,109,21
Jah- 663,2341,55,23
resbericht 180,2376,126,21
sprach 328,2375,83,27
der 431,2375,40,21
Präsident 492,2375,122,21
haupt- 634,2375,85,27
sächlich 181,2410,100,21
über 301,2409,56,21
die 377,2409,35,21
im 431,2410,32,19
Laufe 483,2409,72,21
des 575,2409,39,21
letzten 633,2409,85,21
Jahres 182,2443,82,23
vorgekommenen 289,2443,210,27
Vereinsanlässe. 523,2442,193,21
<EOS>
Ein 181,2478,45,21
Reisebericht 239,2477,157,21
über 408,2477,57,21
die 478,2477,35,21
Fahrt 527,2477,72,20
des 611,2477,39,21
Vor- 662,2477,57,20
Standes 181,2510,93,22
an 287,2518,29,13
die 328,2510,35,21
150 377,2510,40,21
Jahrfeier 427,2510,113,23
des 558,2510,39,21
Kantons 610,2510,109,21
Thurgau, 180,2545,117,26
verfaßt 317,2543,93,22
vom 428,2552,56,13
Sekretär, 505,2543,116,25
wurde 641,2543,78,22
von 180,2587,47,12
den 235,2578,45,21
Anwesenden 288,2577,157,21
mit 456,2578,43,20
lebhaftem 507,2577,128,21
Inter- 645,2577,73,21
esse 181,2620,48,14
angehört. 242,2612,118,27
